zone,candidate_id,family,lag,radius,ridge_alpha,rule_count,consequent_dimension,validation_rmse,validation_mae,clip_bound_scaled,clip_lower_original,clip_upper_original,certification_target_clipping_rate,certificate_sample_size,selection_uses_test,certificate_uses_test,prior_scale,posterior_ratio,empirical_gibbs_risk,gaussian_kl,structure_kl,prior_scale_penalty,total_kl,temperature,certificate,certificate_untruncated,effective_rule_count,minimum_hard_rule_support,maximum_hard_rule_support,mean_active_rules,maximum_active_rules,rule_usage_entropy,realized_covering_radius
zone_1,ridge|p=3|r=none|a=0.0001|k=1,ridge,3,,0.0001,1,4,3583.9327147565677,2520.303685459899,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,4.0,1.0,0.012101480320630542,2.0227781805984377,3.8066624897703196,1.6094379124341003,7.438878582802857,0.25,0.06368720350148215,0.06368720350148215,1,871,871,1.0,1,0.0,
zone_1,ridge|p=3|r=none|a=0.001|k=1,ridge,3,,0.001,1,4,3583.932030546994,2520.303723295199,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,4.0,1.0,0.012101439777378818,2.0228315359200795,3.8066624897703196,1.6094379124341003,7.438931938124499,0.25,0.06368724438565758,0.06368724438565758,1,871,871,1.0,1,0.0,
zone_1,ridge|p=3|r=none|a=0.01|k=1,ridge,3,,0.01,1,4,3583.925192009322,2520.304101666595,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,4.0,1.0,0.012101034459993807,2.0233652945267124,3.8066624897703196,1.6094379124341003,7.439465696731133,0.25,0.0636876536559973,0.0636876536559973,1,871,871,1.0,1,0.0,
zone_1,ridge|p=3|r=none|a=0.1|k=1,ridge,3,,0.1,1,4,3583.8571620329403,2520.3078872178953,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,4.0,1.0,0.012096992770880693,2.028723335651007,3.8066624897703196,1.6094379124341003,7.444823737855427,0.25,0.06369178906131272,0.06369178906131272,1,871,871,1.0,1,0.0,
zone_1,ridge|p=3|r=none|a=1|k=1,ridge,3,,1.0,1,4,3583.211999685992,2520.478836682203,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,4.0,1.0,0.01205769656032692,2.0842669825828315,3.8066624897703196,1.6094379124341003,7.500367384787252,0.25,0.06373725995786589,0.06373725995786589,1,871,871,1.0,1,0.0,
zone_1,fixed_k_dense_tsk|p=3|r=none|a=0.0001|k=8,fixed_k_dense_tsk,3,,0.0001,8,32,3245.1128460084096,2448.5925057747913,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,8.0,0.1,0.011099744338830517,66.58925107961093,9.347926034928745,1.6094379124341003,77.54661502697378,0.5,0.1372645433151174,0.1372645433151174,8,62,692,2.715375810759252,5,0.9289052181587485,0.8269354432772744
zone_1,fixed_k_dense_tsk|p=3|r=none|a=0.001|k=8,fixed_k_dense_tsk,3,,0.001,8,32,3244.9673922036045,2448.469171283037,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,8.0,0.1,0.011079321711607757,66.58813656443962,9.347926034928745,1.6094379124341003,77.54550051180247,0.5,0.13724327023755406,0.13724327023755406,8,62,692,2.715375810759252,5,0.9289052181587485,0.8269354432772744
zone_1,fixed_k_dense_tsk|p=3|r=none|a=0.01|k=8,fixed_k_dense_tsk,3,,0.01,8,32,3243.5223721472685,2447.2411798118455,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,8.0,0.1,0.010887292308543928,66.57745174153345,9.347926034928745,1.6094379124341003,77.5348156888963,0.5,0.13704308759305095,0.13704308759305095,8,62,692,2.715375810759252,5,0.9289052181587485,0.8269354432772744
zone_1,fixed_k_dense_tsk|p=3|r=none|a=0.1|k=8,fixed_k_dense_tsk,3,,0.1,8,32,3229.931117815209,2435.6072267788113,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,4.0,0.3,0.014176237478307681,58.6177106529486,9.347926034928745,1.6094379124341003,69.57507460031145,0.5,0.13425821277915592,0.13425821277915592,8,62,692,2.715375810759252,5,0.9289052181587485,0.8269354432772744
zone_1,fixed_k_dense_tsk|p=3|r=none|a=1|k=8,fixed_k_dense_tsk,3,,1.0,8,32,3143.457055735369,2358.7189652089087,2.755929450295776,12016.12658252932,49981.44303223613,0.0034338038916444107,2621,False,False,8.0,0.3,0.01858073599571947,32.81880105687536,9.347926034928745,1.6094379124341003,43.7761650042382,0.5,0.11897640103630577,0.11897640103630577,8,62,692,2.715375810759252,5,0.9289052181587485,0.8269354432772744
